buyIndia,avg,count
"M@[,ADXR20,CCI:BOP]P@[,SPINNINGTOP,3OUTSIDE]",-6.970509383378001,1
"M@[,ADXR20,CCI:BOP]P@[,HARAMI,SPINNINGTOP,HIGHWAVE]",-6.809890555330354,1
"M@[,ADXR20,RSI:BOP]P@[,HARAMI]",-6.118181818181818,1
"P@[,ENGULFING,3INSIDE,LONGLINE]O@[,CROSSOVER50]",-5.921558574724435,1
"M@[,APO:BOP]P@[,BELTHOLD,3INSIDE,LONGLINE,SEPARATINGLINES]",-5.5859375,1
"M@[,APO:BOP]P@[,BELTHOLD,PIERCING]",-5.315870570107862,1
"P@[,ENGULFING,3INSIDE,SHORTLINE]",-4.835420914651914,1
"P@[,HAMMER,DOJI,DOJISTAR,DRAGONFLYDOJI,LONGLEGGEDDOJI,HIKKAKE,TAKURI]",-4.323754284207755,1
"M@[,RSI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]V@[,AD:OBV]",-4.278523489932893,1
"M@[,ADXR20:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",-4.2436022027858655,1
"M@[,CCI,RSI:BOP]P@[,ENGULFING,CLOSINGMARUBOZU]",-4.062499999999996,1
"M@[,ADXR20:BOP]P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-4.031144727866035,2
"M@[,RSI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-3.9458850056369785,1
"M@[,CCI,RSI:BOP]P@[,MORNINGSTAR]",-3.916251246261218,2
"P@[,SPINNINGTOP,TRISTAR,HIGHWAVE]",-3.877551020408163,1
"M@[,RSI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,PIERCING,LONGLINE]",-3.8141993957704012,1
"M@[,ADXR20,CCI:BOP]P@[,SPINNINGTOP,HIGHWAVE]",-3.7411526794742134,1
