buyIndia,avg,count
"M@[,ADXR40,RSI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",8.115543328748268,1
"M@[,CCI,RSI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,3INSIDE,LONGLINE]",6.469408224674026,1
"M@[,ADXR20,CCI:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",6.307887660591578,1
"M@[,AROON:BOP]P@[,ENGULFING,SPINNINGTOP]",6.054977711738489,1
"P@[,BELTHOLD,COUNTERATTACK]",6.00405679513185,1
"M@[,APO,AROON,CCI:BOP]P@[,BELTHOLD,SEPARATINGLINES]",5.265519820493649,1
"M@[,CCI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SHORTLINE]",5.24117917684115,1
"M@[,RSI]P@[,HARAMI,HOMINGPIGEON]",5.05309882220205,4
"M@[,AROON,CCI:BOP]P@[,BELTHOLD]",5.016454803045361,7
"M@[,AROON,CCI:BOP]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",4.908500085513927,1
"M@[,CCI:BOP]P@[,BELTHOLD,MORNINGSTAR,LONGLINE,SEPARATINGLINES]",4.900938477580801,1
"M@[,CCI,RSI:BOP]P@[,HARAMI,SPINNINGTOP]",4.810945273631831,1
"M@[,APO:BOP]P@[,SPINNINGTOP,3INSIDE]",4.765248796147673,1
"M@[,ADXR20:BOP]P@[,HARAMI,SPINNINGTOP,HIGHWAVE,HIKKAKE]",4.583956153462888,1
"M@[,AROON:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",4.55717970765262,1
"M@[,ADXR20,RSI:BOP]P@[,HARAMI,SHORTLINE]",4.410616705698677,1
"M@[,ADXR20:BOP]P@[,HAMMER,HARAMI]",4.138812426268178,1
"P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,HIKKAKE,HIKKAKEMOD,SHORTLINE,TAKURI]",4.0746020432406835,1
"M@[,RSI:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE,TAKURI]",4.06429875052647,1
"M@[,APO:BOP]P@[,LONGLINE]O@[,CROSSOVER21,CROSSOVER50]",4.057142857142853,1
"P@[,HIKKAKE,STICKSANDWICH]",4.012112036336117,1
