sellIndia,avg,count
"M@[,CROSSOVER-MACD]P@[,SPINNINGTOP,3OUTSIDE,SHORTLINE]",-14.919561430474438,1
"P@[,EVENINGSTAR,2CROWS,LONGLINE]",-11.162517245482537,5
"M@[,ADXR20]P@[,EVENINGSTAR,LONGLINE]",-8.435072142064367,2
"M@[,AROON]P@[,BELTHOLD,ENGULFING,LONGLINE]O@[,CROSSOVER21]",-7.161201696231252,1
"M@[,ADXR40]P@[,HIKKAKE,SHORTLINE]",-5.814627851631692,2
"M@[,ADXR20]P@[,LONGLINE]O@[,CROSSOVER21]",-5.504357727850041,2
"M@[,APO,AROON,CROSSOVER-MACD]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",-5.318039624608977,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,3INSIDE]",-5.068554845939191,2
"M@[,RSI]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,EVENINGSTAR,LONGLINE]",-4.694545133056309,1
"P@[,CLOSINGMARUBOZU,DARKCLOUDCOVER]",-4.682274247491641,1
"M@[,APO]P@[,EVENINGSTAR]",-4.529135597901141,1
"P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-4.293999553870176,1
"M@[,APO]P@[,BELTHOLD,LONGLINE,UPSIDEGAP2CROWS]",-4.272183784509984,1
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,DARKCLOUDCOVER,HIKKAKE,LONGLINE]",-4.254508509017018,1
"M@[,RSI]P@[,EVENINGSTAR,LONGLINE]",-4.165627338488399,1
"M@[,AROON]P@[,HIKKAKE,LONGLINE]",-4.054592548316391,1
"M@[,ADXR20]P@[,SPINNINGTOP,3OUTSIDE,SHORTLINE]",-3.977006500083804,2
"M@[,RSI]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-3.885601152151292,3
"M@[,APO]P@[,SPINNINGTOP,3OUTSIDE]",-3.8523041139700536,1
"M@[,RSI]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-3.787878787878788,1
"M@[,AROON]P@[,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",-3.721888967126095,2
"M@[,CROSSOVER-MACD]P@[,EVENINGSTAR]",-3.715172089227202,3
"M@[,ADXR20]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-3.661040145985391,1
"P@[,ENGULFING,CLOSINGMARUBOZU]O@[,CROSSOVER21]",-3.487907723336835,2
"M@[,RSI]P@[,HIKKAKE]",-3.3706849810229493,1
"M@[,CROSSOVER-MACD]P@[,SPINNINGTOP,HIKKAKE]",-3.3143939393939394,1
"P@[,EVENINGSTAR,EVENINGDOJISTAR]O@[,CROSSOVER21]",-3.277310924369753,1
"M@[,RSI]P@[,DARKCLOUDCOVER,LONGLINE]",-3.180503923998343,1
"M@[,ADXR20,APO,AROON]P@[,BELTHOLD,LONGLINE]",-3.1213872832369973,1
"P@[,HIKKAKE,HIKKAKEMOD,SHORTLINE]",-3.1032731038398715,2
"M@[,AROON,CROSSOVER-MACD]P@[,ENGULFING,LONGLINE]",-3.0986383731749982,3
"M@[,AROON]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,HIKKAKE,LONGLINE]",-3.0169389596070983,1
"M@[,APO,AROON]P@[,SPINNINGTOP]",-3.0011683806809724,2
"M@[,CROSSOVER-MACD]P@[,3OUTSIDE,LONGLINE]",-2.999986937938011,23
"M@[,CROSSOVER-MACD]P@[,HARAMI,SPINNINGTOP,HIGHWAVE]",-2.985166872682321,1
"M@[,RSI,CCI]P@[,THRUSTING]",-2.9069767441860463,1
"M@[,AROON,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE]",-2.7592315114220405,4
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,ENGULFING,EVENINGSTAR,LONGLINE]",-2.7519021545900624,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE,RISEFALL3METHODS]",-2.6607538802660753,1
"M@[,AROON,CROSSOVER-MACD]P@[,BELTHOLD,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-2.6415470494417863,1
"M@[,APO,CROSSOVER-MACD]P@[,BELTHOLD,DARKCLOUDCOVER,LONGLINE]",-2.6136363636363633,1
"M@[,RSI]P@[,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-2.6039987100935327,1
"M@[,CROSSOVER-MACD]P@[,HIKKAKE,LONGLINE]",-2.5996533795493932,1
"M@[,APO,AROON]P@[,BELTHOLD,ENGULFING,LONGLINE]",-2.5313219125543425,1
"M@[,ADXR20,APO]P@[,CLOSINGMARUBOZU,LONGLINE]",-2.528334786399307,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-2.518443144238116,1
"M@[,APO,CROSSOVER-MACD]P@[,ENGULFING,LONGLINE]",-2.492627830634839,1
"P@[,BELTHOLD,ENGULFING,3INSIDE,LONGLINE]",-2.49173042579225,2
"M@[,APO]P@[,SPINNINGTOP,3OUTSIDE,HIGHWAVE]",-2.469917669411023,1
"M@[,ADXR40,CROSSOVER-MACD]P@[,3BLACKCROWS,SHORTLINE]",-2.3904382470119487,1
"M@[,ADXR40]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-2.272081794944618,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,COUNTERATTACK]",-2.2592152199762254,1
"P@[,SHORTLINE]O@[,CROSSOVER21,CROSSOVER50]",-2.2485335650662663,1
"P@[,BELTHOLD,EVENINGSTAR,LONGLINE,SEPARATINGLINES]",-2.191626280781454,3
"P@[,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER50]",-2.1828018421333413,2
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER21,CROSSOVER50]",-2.0239660967411823,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,EVENINGSTAR,LONGLINE]",-2.0093945720250495,1
"P@[,INNECK]",-1.9696570482408027,11
"M@[,RSI]P@[,COUNTERATTACK,LONGLINE]",-1.94701862772629,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE]V@[,AD:OBV]",-1.8970997218911312,1
"M@[,CROSSOVER-MACD]P@[,ENGULFING,3INSIDE]",-1.8912529550827468,1
"M@[,AROON]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-1.8858804220700507,8
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE,SEPARATINGLINES]",-1.875087138228329,6
"M@[,RSI]P@[,BELTHOLD,ENGULFING,LONGLINE,SEPARATINGLINES]",-1.869221944800597,1
"P@[,DARKCLOUDCOVER,SHORTLINE]",-1.8648580597118793,1
"M@[,RSI]P@[,ENGULFING,SPINNINGTOP]",-1.8529076396807298,1
"M@[,APO]P@[,3OUTSIDE,SHORTLINE]",-1.8423468820730915,8
"M@[,APO]P@[,CLOSINGMARUBOZU,3OUTSIDE]",-1.8255578093306402,1
"M@[,APO,AROON]P@[,LONGLINE]O@[,CROSSOVER21]",-1.8249840313897252,1
"M@[,AROON]P@[,BELTHOLD,LONGLINE]V@[,AD:OBV]",-1.8240332011805704,2
"P@[,BELTHOLD,EVENINGSTAR,EVENINGDOJISTAR,2CROWS,LONGLINE]",-1.78248687635624,2
"M@[,APO]P@[,ENGULFING,SPINNINGTOP]",-1.7297227903564278,2
"M@[,APO]P@[,BELTHOLD,ENGULFING,EVENINGSTAR,LONGLINE]",-1.7290160326941213,1
"M@[,RSI]P@[,BELTHOLD,EVENINGSTAR,2CROWS,LONGLINE]",-1.7117964648363213,2
"M@[,ADXR20]P@[,HARAMI,SPINNINGTOP,SHORTLINE]",-1.706150836774611,1
"M@[,APO]P@[,LONGLINE]O@[,CROSSOVER21]",-1.7023015116437425,1
"M@[,CROSSOVER-MACD,RSI]P@[,BELTHOLD,LONGLINE]",-1.6919035324095448,2
"M@[,ADXR40]P@[,SHOOTINGSTAR]",-1.6749660479855215,1
"P@[,BELTHOLD,COUNTERATTACK]",-1.6350717166031505,2
