filterTest,avg,count
"PCTChangeEQ0,NA, , , , ",-0.6885010105916917,65
"PCTChangeEQ0,NA, , ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA, , ",-0.6249999999999978,1
"PCTChangeEQ0,NA, , ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm, , ",1.639344262295082,1
"PCTChangeEQ0,NA, , ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",0.22614460192018515,2
"PCTChangeEQ0,NA, , ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ",-0.7959568350894983,3
"PCTChangeEQ0,NA, , ,##LONGTERM:CrossoverSMA25,$$(Study)$$:RisingMA-Confirm, , ",-0.9909501570143919,2
"PCTChangeEQ0,NA, , ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ",-2.3055569948840695,2
"PCTChangeEQ0,NA, , ,##LONGTERM:NearSMA25,$$(Study)$$:RisingMA-Confirm,$$(May)$$:EMA6-LT-May-MT-EMA14, , ",-1.5326633165829202,1
"PCTChangeEQ0,NA, , ,##LONGTERM:NearSMA25,$$(Study)$$:RisingMA-Risky, , ",-0.43488765402269985,1
"PCTChangeEQ0,NA, , ,$$(Confirmed)$$:EMA6<EMA14, , ",-0.6926406926406902,1
"PCTChangeEQ0,NA, , ,$$(Confirmed)$$:EMA6>EMA14, , ",1.0966735966735919,1
"PCTChangeEQ0,NA, , ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ",3.1327287716405583,1
"PCTChangeEQ0,NA, , ,$$(May)$$:EMA6-MT-May-LT-EMA14, , ",0.4964396320985582,3
"PCTChangeEQ0,NA, , ,$$(Study)$$:AllNegativeMA, , ",-0.6286976227292835,13
"PCTChangeEQ0,NA, , ,$$(Study)$$:DowningMA, , ",-2.258805513016851,1
"PCTChangeEQ0,NA, , ,$$(Study)$$:RisingMA, , ",-2.81220067049809,2
"PCTChangeEQ0,NA, , ,$$(Study)$$:RisingMA-Risky, , ",1.1799410029498483,1
"PCTChangeEQ0,NA, ,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High), , , ",-0.5230894973436936,1
"PCTChangeEQ0,NA, ,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High), , , ",-1.025641025641022,1
"PCTChangeEQ0,NA, ,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ",-1.0960429517528198,5
"PCTChangeEQ0,NA, ,BreakHighMonth,HighMonthGT5,(weekHighGTweek2High), ,##MEDIUMTERM:NearSMA50,$$(Study)$$:RisingMA-Confirm, , ",2.1929824561403506,1
"PCTChangeEQ0,NA, ,BreakHighMonth3,HighMonth3GT0,(weekHighGTweek2High), , , ",-2.734375000000011,1
"PCTChangeEQ0,NA, ,BreakHighMonth3,HighMonth3GT2,(weekHighGTweek2High), , , ",-2.896725440806059,1
"PCTChangeEQ0,NA, ,BreakHighMonth6,HighMonth6GT0,(weekHighGTweek2High),(Recent), , , ",0.42814328528614887,2
"PCTChangeEQ0,NA, ,BreakHighYear,HighYearGT0,(weekHighGTweek2High), , , ",0.6105457909343116,1
"PCTChangeEQ0,NA, ,BreakHighYear,HighYearGT2,(weekHighGTweek2High), , , ",1.6483516483516523,1
"PCTChangeEQ0,NA, ,BreakHighYear,HighYearGT2,(weekHighGTweek2High),(Recent), , , ",0.2690909090909124,1
"PCTChangeEQ0,NA, ,BreakHighYear,HighYearGT5,(weekHighGTweek2High),(Recent), , , ",0.36523009495982467,1
"PCTChangeEQ0,NA, ,BreakHighYear2,HighYear2GT0,(weekHighGTweek2High),(Recent), , , ",1.4286968819409587,3
"PCTChangeEQ0,NA, ,BreakHighYear2,HighYear2GT2,(weekHighGTweek2High),(Recent), , , ",1.2254111576910527,1
"PCTChangeEQ0,NA, ,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:DowningMA-Confirm, , ",-2.571428571428567,1
"PCTChangeEQ0,NA, ,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low),(Recent), , , ",-1.4908256880733912,1
"PCTChangeEQ0,NA, ,BreakLowMonth,LowMonthLT-5,(weekLowLTweek2Low),(Recent), , , ",-0.16556291390728714,1
"PCTChangeEQ0,NA, ,BreakLowMonth3,LowMonth3LT-2,(weekLowLTweek2Low), , , ",1.063829787234047,1
"PCTChangeEQ0,NA, ,BreakLowMonth3,LowMonth3LT-7,(weekLowLTweek2Low), , , ",-0.59887005649717,1
"PCTChangeEQ0,NA, ,BreakLowMonth3,LowMonth3LT0,(weekLowLTweek2Low), , , ",-0.815217391304353,1
"PCTChangeEQ0,NA, ,BreakLowMonth3,LowMonth3LT0,(weekLowLTweek2Low),(Recent), , , ",-0.9633911368015415,1
