filterTest,avg,count
"PCTChangeEQ0, , , ,",-0.44784312848663105,54
"PCTChangeEQ0, , , ,buyYearHigh-1,",-1.0486891385767791,1
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm, , ,",-2.0125865008524766,2
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ,",2.5279930932928627,2
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:RisingMA-Confirm, , ,",-1.6617931120572174,3
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:RisingMA-Confirm,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",-0.7676640722008532,2
"PCTChangeEQ0, ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ,",1.8073855487253025,3
"PCTChangeEQ0, ,##LONGTERM:NearSMA25,$$(Study)$$:RisingMA-Confirm, , ,",2.7237354085603087,1
"PCTChangeEQ0, ,##LONGTERM:NearSMA25,$$(Study)$$:RisingMA-Confirm,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",0.43643263757114886,1
"PCTChangeEQ0, ,##LONGTERM:NearSMA25,$$(Study)$$:RisingMA-Risky, , ,",-0.43488765402269985,1
"PCTChangeEQ0, ,##MEDIUMTERM:NearSMA50,$$(Study)$$:RisingMA-Confirm, , ,",2.1929824561403506,1
"PCTChangeEQ0, ,$$(Confirmed)$$:EMA6<EMA14, , ,",-3.8560411311053984,1
"PCTChangeEQ0, ,$$(Confirmed)$$:EMA6>EMA14, , ,",0.32492060406338613,3
"PCTChangeEQ0, ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",3.1327287716405583,1
"PCTChangeEQ0, ,$$(Study)$$:AllNegativeMA, , ,",0.07281553398058528,1
"PCTChangeEQ0, ,$$(Study)$$:DowningMA, , ,",-2.258805513016851,1
"PCTChangeEQ0, ,$$(Study)$$:RisingMA, , ,",-0.2604166666666704,1
