filterTest,avg,count
"PCTChangeEQ0, , , ,",-0.4798984423697936,106
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA, , ,",-0.6249999999999978,1
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm, , ,",1.639344262295082,1
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ,",0.22614460192018515,2
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ,",-1.935645549318361,2
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:RisingMA-Confirm, , ,",-1.2004763836566394,5
"PCTChangeEQ0, ,##LONGTERM:CrossoverSMA25,$$(Study)$$:RisingMA-Confirm,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",-1.0377358490565984,1
"PCTChangeEQ0, ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm, , ,",-0.3167510247348133,2
"PCTChangeEQ0, ,##LONGTERM:NearSMA25,$$(Study)$$:RisingMA-Confirm,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",-0.7614213197969472,1
"PCTChangeEQ0, ,##LONGTERM:NearSMA25,$$(Study)$$:RisingMA-Risky, , ,",-0.4722208970750478,2
"PCTChangeEQ0, ,$$(Confirmed)$$:EMA6<EMA14, , ,",-0.6926406926406902,1
"PCTChangeEQ0, ,$$(Confirmed)$$:EMA6>EMA14, , ,",0.19335539332395094,6
"PCTChangeEQ0, ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",0.045877782799486365,3
"PCTChangeEQ0, ,$$(May)$$:EMA6-MT-May-LT-EMA14, , ,",0.2720518669042843,5
"PCTChangeEQ0, ,$$(Study)$$:AllNegativeMA, , ,",-1.0507234166249497,14
"PCTChangeEQ0, ,$$(Study)$$:DowningMA, , ,",-2.258805513016851,1
"PCTChangeEQ0, ,$$(Study)$$:RisingMA, , ,",-1.3917086595591137,3
"PCTChangeEQ0, ,$$(Study)$$:RisingMA-Risky, , ,",1.1799410029498483,1
"PCTChangeEQ0,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High), , , ,",-0.5230894973436936,1
"PCTChangeEQ0,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High), ,$$(Confirmed)$$:EMA6>EMA14, , ,",6.026058631921817,1
"PCTChangeEQ0,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ,",0.5580357142857143,1
"PCTChangeEQ0,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High), , , ,",1.3970188700238226,3
"PCTChangeEQ0,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ,",-0.3772572748356735,10
"PCTChangeEQ0,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:RisingMA-Confirm, , ,",0.09970089730808429,1
"PCTChangeEQ0,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), ,##MEDIUMTERM:NearSMA50,$$(Study)$$:RisingMA-Confirm, , ,",0.7776049766718507,1
"PCTChangeEQ0,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), ,$$(Study)$$:RisingMA-Confirm,$$(Confirmed)$$:EMA6>EMA14, , ,",-1.1273486430062585,1
"PCTChangeEQ0,BreakHighMonth,HighMonthGT5,(weekHighGTweek2High), ,##MEDIUMTERM:NearSMA50,$$(Study)$$:RisingMA-Confirm, , ,",2.1929824561403506,1
"PCTChangeEQ0,BreakHighMonth3,HighMonth3GT0,(weekHighGTweek2High), , , ,",-2.734375000000011,1
"PCTChangeEQ0,BreakHighMonth3,HighMonth3GT0,(weekHighGTweek2High), , , ,(Test)MaySellCheckChart-monthHighReversal-risky,monthHighChangeGT2,weekHighGTweek2,",1.8455228981544693,1
"PCTChangeEQ0,BreakHighMonth3,HighMonth3GT0,(weekHighGTweek2High),(Recent), , , ,",-1.7123287671232876,1
"PCTChangeEQ0,BreakHighMonth3,HighMonth3GT2,(weekHighGTweek2High), , , ,",-1.4483627204030296,2
"PCTChangeEQ0,BreakHighMonth3,HighMonth3GT2,(weekHighGTweek2High),(Recent), , , ,",-0.8056872037914639,1
"PCTChangeEQ0,BreakHighMonth6,HighMonth6GT0,(weekHighGTweek2High),(Recent), , , ,",0.7504396314973354,3
"PCTChangeEQ0,BreakHighMonth6,HighMonth6GT2,(weekHighGTweek2High),(Recent), , , ,",-1.36986301369863,1
"PCTChangeEQ0,BreakHighMonth6,HighMonth6GT5,(weekHighGTweek2High),(Recent), , , ,",-2.9238895915482446,1
"PCTChangeEQ0,BreakHighYear,HighYearGT0,(weekHighGTweek2High), , , ,",0.6105457909343116,1
"PCTChangeEQ0,BreakHighYear,HighYearGT0,(weekHighGTweek2High),(Recent), , , ,",0.9042954031650468,1
"PCTChangeEQ0,BreakHighYear,HighYearGT2,(weekHighGTweek2High), , , ,",1.6483516483516523,1
"PCTChangeEQ0,BreakHighYear,HighYearGT2,(weekHighGTweek2High),(Recent), , , ,",0.2690909090909124,1
"PCTChangeEQ0,BreakHighYear,HighYearGT7,(weekHighGTweek2High), , , ,",0.4289544235924994,1
"PCTChangeEQ0,BreakHighYear2,HighYear2GT0,(weekHighGTweek2High),(Recent), , , ,",0.33529996417277835,7
"PCTChangeEQ0,BreakHighYear2,HighYear2GT0,(weekHighGTweek2High),(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Risky, , ,",1.3116057233704337,1
"PCTChangeEQ0,BreakHighYear2,HighYear2GT2,(weekHighGTweek2High), , , ,",1.4092446448703495,1
"PCTChangeEQ0,BreakHighYear2,HighYear2GT2,(weekHighGTweek2High),(Recent), , , ,",0.9008194920558537,2
"PCTChangeEQ0,BreakHighYear2,HighYear2GT5,(weekHighGTweek2High),(Recent), , , ,",-1.0972753051411634,1
"PCTChangeEQ0,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low), , , ,--,",-1.693958215697346,1
"PCTChangeEQ0,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:DowningMA-Confirm, , ,",-2.571428571428567,1
"PCTChangeEQ0,BreakLowMonth,LowMonthLT-2,(weekLowLTweek2Low),(Recent), , , ,",-1.4908256880733912,1
"PCTChangeEQ0,BreakLowMonth,LowMonthLT-5,(weekLowLTweek2Low),(Recent), , , ,",-0.16556291390728714,1
"PCTChangeEQ0,BreakLowMonth,LowMonthLT0, , , ,",-3.466666666666659,1
"PCTChangeEQ0,BreakLowMonth,LowMonthLT0,(weekLowLTweek2Low), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:DowningMA-Confirm, , ,",0.6048387096774039,1
"PCTChangeEQ0,BreakLowMonth3,LowMonth3LT-2,(weekLowLTweek2Low), , , ,",1.063829787234047,1
"PCTChangeEQ0,BreakLowMonth3,LowMonth3LT-7,(weekLowLTweek2Low), , , ,",-0.59887005649717,1
"PCTChangeEQ0,BreakLowMonth3,LowMonth3LT0,(weekLowLTweek2Low), , , ,",-0.815217391304353,1
"PCTChangeEQ0,BreakLowMonth3,LowMonth3LT0,(weekLowLTweek2Low),(Recent), , , ,",-0.03238681264040477,2
"PCTChangeEQ0,BreakLowMonth6,LowMonth6LT0,(weekLowLTweek2Low),(Recent), , , ,",-0.5897219882055627,1
"PCTChangeEQ0,BreakLowYear,LowYearLT0,(weekLowLTweek2Low), ,$$(Study)$$:AllNegativeMA, , ,",-1.8354860639020996,1
"PCTChangeEQ0,BreakLowYear,LowYearLT0,(weekLowLTweek2Low),(Recent), ,$$(Study)$$:AllNegativeMA, , ,",-0.5797941730685606,1
"PCTChangeEQ0,BreakLowYear2,LowYear2LT-2,(weekLowLTweek2Low),(Recent), , , ,",-0.2053191997326071,2
"PCTChangeEQ0,BreakLowYear2,LowYear2LT-2,(weekLowLTweek2Low),(Recent), ,$$(Study)$$:AllNegativeMA, , ,",1.497964376590327,2
"PCTChangeEQ0,BreakLowYear2,LowYear2LT0,(weekLowLTweek2Low),(Recent), , , ,",-0.9057971014492754,1
"PCTChangeEQ0,BreakLowYear2,LowYear2LT0,(weekLowLTweek2Low),(Recent), ,$$(Study)$$:AllNegativeMA, , ,",-0.6120814098549173,4
"PCTChangeEQ0,NearHighMonth,HighMonthLT-2, ,$$(Confirmed)$$:EMA6>EMA14, , ,",0.4835924006908385,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-2,(Recent), , , ,",-1.2245392212828665,5
"PCTChangeEQ0,NearHighMonth,HighMonthLT-2,(weekHighGTweek2High), , , ,",-1.6620498614958488,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-2,(weekHighGTweek2High), ,$$(Confirmed)$$:EMA6>EMA14, , ,",4.155038759689916,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-2,(weekHighGTweek2High),(Recent), , , ,",1.4871794871794883,3
"PCTChangeEQ0,NearHighMonth,HighMonthLT-5,(Recent), ,##MEDIUMTERM:CrossoverSMA50,$$(Study)$$:RisingMA-Confirm, , ,",-1.0452961672473893,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-5,(weekHighGTweek2High), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:RisingMA-Confirm, , ,",-2.531645569620244,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-7, ,$$(Confirmed)$$:EMA6<EMA14, , ,",0.4255319148936231,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-7,(Recent), , , ,",1.8279080355110384,2
"PCTChangeEQ0,NearHighMonth,HighMonthLT-7,(Recent), ,$$(Confirmed)$$:EMA6<EMA14, , ,",-3.8560411311053984,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-7,(Recent), ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",-3.116147308781854,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT-7,(Recent), ,$$(May)$$:EMA6-MT-May-LT-EMA14, , ,",0.8878504672897223,1
"PCTChangeEQ0,NearHighMonth,HighMonthLT0,(Recent), , , ,",-0.4155874705955167,3
"PCTChangeEQ0,NearHighMonth,HighMonthLT0,(weekHighGTweek2High), , , ,",-0.8014206557513615,3
"PCTChangeEQ0,NearHighMonth,HighMonthLT0,(weekHighGTweek2High),(Recent), , , ,",-1.0761259465922746,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-2,(Recent), , , ,",1.5563728318221912,3
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-2,(Recent), ,##LONGTERM:CrossoverSMA25,$$(Study)$$:DowningMA-Confirm,$$(May)$$:EMA6-MT-May-LT-EMA14, , ,",-0.6067338916424659,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-2,(Recent), ,$$(Confirmed)$$:EMA6>EMA14, , ,",-1.3110846245530494,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-2,(weekHighGTweek2High), , , ,",-2.432432432432429,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-2,BreakHighMonth,HighMonthGT2,(weekHighGTweek2High),(Recent), , , ,",4.371963913948655,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-2,BreakHighMonth,HighMonthGT5,(weekHighGTweek2High),(Recent), , , ,",8.702633269107265,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-5, , , ,",0.7299270072992652,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-5,(Recent), , , ,",-0.8554393660824641,2
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-5,(Recent), ,##LONGTERM:NearSMA25,$$(Study)$$:DowningMA-Confirm,$$(Confirmed)$$:EMA6<EMA14, , ,",0.7594936708860687,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-5,(Recent), ,##SHORTTERM:CrossoverSMA100,$$(Study)$$:DowningMA, , ,",-4.242424242424238,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-5,(weekHighGTweek2High), , , ,",-2.557544757033248,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-5,(weekHighGTweek2High), ,$$(May)$$:EMA6-LT-May-MT-EMA14, , ,",-3.2768361581920966,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-5,BreakHighMonth,HighMonthGT0,(weekHighGTweek2High),(Recent), , , ,",2.461538461538453,1
"PCTChangeEQ0,NearHighMonth3,HighMonth3LT-7, , , ,",-0.49142426120926447,6
