Company Name,Symbol
3i Infotech Limited,3IINFOTECH
3M India Limited,3MINDIA
3rd Rock Multimedia Limited,3RDROCK
5Paisa Capital Limited,5PAISA
63 moons technologies limited,63MOONS
Aarti Drugs Limited,AARTIDRUGS
Aarti Industries Limited,AARTIIND
Aavas Financiers Limited,AAVAS
ABB India Limited,ABB
ABB Power Products and Systems India Limited,POWERINDIA
ACC Limited,ACC
Accelya Solutions India Limited,ACCELYA
Action Construction Equipment Limited,ACE
Adani Enterprises Limited,ADANIENT
Adani Gas Limited,ADANIGAS
Adani Green Energy Limited,ADANIGREEN
Adani Ports and Special Economic Zone Limited,ADANIPORTS
Adani Power Limited,ADANIPOWER
Adani Transmission Limited,ADANITRANS
ADF Foods Limited,ADFFOODS
Aditya Birla Capital Limited,ABCAPITAL
Aditya Birla Fashion and Retail Limited,ABFRL
Ador Welding Limited,ADORWELD
Advanced Enzyme Technologies Limited,ADVENZYMES
Advani Hotels & Resorts (India) Limited,ADVANIHOTR
Aegis Logistics Limited,AEGISCHEM
Affle (India) Limited,AFFLE
AGC Networks Limited,AGCNET
Agro Tech Foods Limited,ATFL
Ahluwalia Contracts (India) Limited,AHLUCONT
AIA Engineering Limited,AIAENG
Ajanta Pharma Limited,AJANTPHARM
Ajmera Realty & Infra India Limited,AJMERA
Akash Infra-Projects Limited,AKASH
Akzo Nobel India Limited,AKZOINDIA
Alankit Limited,ALANKIT
Albert David Limited,ALBERTDAVD
Alembic Limited,ALEMBICLTD
Alembic Pharmaceuticals Limited,APLLTD
Alicon Castalloy Limited,ALICON
Alkem Laboratories Limited,ALKEM
Alkyl Amines Chemicals Limited,ALKYLAMINE
Allcargo Logistics Limited,ALLCARGO
Allsec Technologies Limited,ALLSEC
Alok Industries Limited,ALOKINDS
Amara Raja Batteries Limited,AMARAJABAT
Amber Enterprises India Limited,AMBER
Ambika Cotton Mills Limited,AMBIKCO
Ambuja Cements Limited,AMBUJACEM
Amrutanjan Health Care Limited,AMRUTANJAN
Anant Raj Limited,ANANTRAJ
ANDHRA PAPER LIMITED,ANDHRAPAP
Anjani Portland Cement Limited,APCL
Apar Industries Limited,APARINDS
Apcotex Industries Limited,APCOTEXIND
Apex Frozen Foods Limited,APEX
APL Apollo Tubes Limited,APLAPOLLO
Apollo Hospitals Enterprise Limited,APOLLOHOSP
Apollo Pipes Limited,APOLLOPIPE
Apollo Tyres Limited,APOLLOTYRE
Aptech Limited,APTECHT
Arman Financial Services Limited,ARMANFIN
Arshiya Limited,ARSHIYA
Artemis Medicare Services Limited,ARTEMISMED
Arvind Fashions Limited,ARVINDFASN
Arvind Limited,ARVIND
Arvind SmartSpaces Limited,ARVSMART
Asahi India Glass Limited,ASAHIINDIA
Ashapura Minechem Limited,ASHAPURMIN
Ashiana Housing Limited,ASHIANA
Ashok Leyland Limited,ASHOKLEY
Ashoka Buildcon Limited,ASHOKA
Asian Granito India Limited,ASIANTILES
Asian Hotels (East) Limited,AHLEAST
Asian Hotels (West) Limited,AHLWEST
Asian Paints Limited,ASIANPAINT
Associated Alcohols & Breweries Ltd.,ASALCBR
