Scrip, Date, Sentiment, Comment
BLISSGVS,2022-04-30,NA,NA
CIFL,2022-04-30,NA,NA
GHCL,2022-04-30,NA,NA
IDFCFIRSTB,2022-04-30,NA,NA
IFINSER,2022-04-30,NA,NA
JAYBARMARU,2022-04-30,NA,NA
LGBBROSLTD,2022-04-30,NA,NA
MITSU,2022-04-30,NA,NA
RONI,2022-04-30,NA,NA
SELAN,2022-04-30,NA,NA
SHILCTECH,2022-04-30,NA,NA
SHISHIND,2022-04-30,NA,NA
SKPSEC,2022-04-30,NA,NA
SKYIND,2022-04-30,NA,NA
SPORTKING,2022-04-30,NA,NA
TEEAI,2022-04-30,NA,NA
USHAMART,2022-04-30,NA,NA
YASHO,2022-04-30,NA,NA
YESBANK,2022-04-30,NA,NA
APLLTD,2022-05-02,NA,NA
ASHSI,2022-05-02,NA,NA
ASTEC,2022-05-02,NA,NA
AWL,2022-05-02,NA,NA
BHAGYAPROP,2022-05-02,NA,NA
BRITANNIA,2022-05-02,NA,NA
CASTROLIND,2022-05-02,NA,NA
CGPOWER,2022-05-02,NA,NA
DEVYANI,2022-05-02,NA,NA
DWARKESH,2022-05-02,NA,NA
EIHAHOTELS,2022-05-02,NA,NA
HDFC,2022-05-02,NA,NA
HOTELRUGBY,2022-05-02,NA,NA
IDBI,2022-05-02,NA,NA
INFOMEDIA,2022-05-02,NA,NA
INOXLEISUR,2022-05-02,NA,NA
JBMA,2022-05-02,NA,NA
JSL,2022-05-02,NA,NA
M&MFIN,2022-05-02,NA,NA
MANCREDIT,2022-05-02,NA,NA
MAYUKH,2022-05-02,NA,NA
MHRIL,2022-05-02,NA,NA
MOL,2022-05-02,NA,NA
NGLFINE,2022-05-02,NA,NA
OLECTRA,2022-05-02,NA,NA
SAREGAMA,2022-05-02,NA,NA
SHAKTIPUMP,2022-05-02,NA,NA
SURANASOL,2022-05-02,NA,NA
UNJHAFOR,2022-05-02,NA,NA
20MICRONS,2022-05-03,NA,NA
ACCELYA,2022-05-03,NA,NA
ADANIENT,2022-05-03,NA,NA
BANSWRAS,2022-05-03,NA,NA
ELECON,2022-05-03,NA,NA
ERIS,2022-05-03,NA,NA
GODREJPROP,2022-05-03,NA,NA
HEROMOTOCO,2022-05-03,NA,NA
HITTCO,2022-05-03,NA,NA
HOMEFIRST,2022-05-03,NA,NA
JSWENERGY,2022-05-03,NA,NA
KBSINDIA,2022-05-03,NA,NA
KEC,2022-05-03,NA,NA
KPIGREEN,2022-05-03,NA,NA
NETWORK18,2022-05-03,NA,NA
NEWGEN,2022-05-03,NA,NA
PLASTIBLEN,2022-05-03,NA,NA
PRAKASH,2022-05-03,NA,NA
RKFORGE,2022-05-03,NA,NA
SOLARINDS,2022-05-03,NA,NA
SUMERUIND,2022-05-03,NA,NA
SURAJLTD,2022-05-03,NA,NA
SYMPHONY,2022-05-03,NA,NA
TATASTEEL,2022-05-03,NA,NA
TITAN,2022-05-03,NA,NA
TV18BRDCST,2022-05-03,NA,NA
ABB,2022-05-04,NA,NA
ADANIGREEN,2022-05-04,NA,NA
APTECHT,2022-05-04,NA,NA
ATGL,2022-05-04,NA,NA
BALFC,2022-05-04,NA,NA
BLACKROSE,2022-05-04,NA,NA
BOMDYEING,2022-05-04,NA,NA
CARTRADE,2022-05-04,NA,NA
CIGNITI,2022-05-04,NA,NA
CYBERTECH,2022-05-04,NA,NA
DEEPAKNI,2022-05-04,NA,NA
DILIGENT,2022-05-04,NA,NA
DRAGARWQ,2022-05-04,NA,NA
EIHOTEL,2022-05-04,NA,NA
EQUITASBNK,2022-05-04,NA,NA
GOCOLORS,2022-05-04,NA,NA
HAVELLS,2022-05-04,NA,NA
IIFLWAM,2022-05-04,NA,NA
KANANIIND,2022-05-04,NA,NA
KOTAKBANK,2022-05-04,NA,NA
LXCHEM,2022-05-04,NA,NA
MAHEPC,2022-05-04,NA,NA
MANOMAY,2022-05-04,NA,NA
MASFIN,2022-05-04,NA,NA
OFSS,2022-05-04,NA,NA
RAIN,2022-05-04,NA,NA
SACHEMT,2022-05-04,NA,NA
SATIN,2022-05-04,NA,NA
SIS,2022-05-04,NA,NA
TATACONSUM,2022-05-04,NA,NA
TCIDEVELOP,2022-05-04,NA,NA
THAMBBI,2022-05-04,NA,NA
7NR,2022-05-05,NA,NA
AAVAS,2022-05-05,NA,NA
ABIRAFN,2022-05-05,NA,NA
ADANIPOWER,2022-05-05,NA,NA
ADANITRANS,2022-05-05,NA,NA
ALEMBICLTD,2022-05-05,NA,NA
ANDHRAPAP,2022-05-05,NA,NA
APTUS,2022-05-05,NA,NA
BLUEDART,2022-05-05,NA,NA
BLUESTARCO,2022-05-05,NA,NA
BORORENEW,2022-05-05,NA,NA
CAMS,2022-05-05,NA,NA
CEATLTD,2022-05-05,NA,NA
CHOLAFIN,2022-05-05,NA,NA
DABUR,2022-05-05,NA,NA
DCMSHRIRAM,2022-05-05,NA,NA
EXIDEIND,2022-05-05,NA,NA
FSL,2022-05-05,NA,NA
GARFIBRES,2022-05-05,NA,NA
HAPPSTMNDS,2022-05-05,NA,NA
INDUSTOWER,2022-05-05,NA,NA
INTELLECT,2022-05-05,NA,NA
JSLHISAR,2022-05-05,NA,NA
LKPFIN,2022-05-05,NA,NA
MARICO,2022-05-05,NA,NA
MMTC,2022-05-05,NA,NA
MOREPENLAB,2022-05-05,NA,NA
NICCOUCO,2022-05-05,NA,NA
PACL,2022-05-05,NA,NA
PECOS,2022-05-05,NA,NA
PGHL,2022-05-05,NA,NA
PNBGILTS,2022-05-05,NA,NA
PRESHAMET,2022-05-05,NA,NA
PRESSMN,2022-05-05,NA,NA
PRESSURS,2022-05-05,NA,NA
PRIVISCL,2022-05-05,NA,NA
PUNJABCHEM,2022-05-05,NA,NA
QUICKHEAL,2022-05-05,NA,NA
SEJAL,2022-05-05,NA,NA
SONACOMS,2022-05-05,NA,NA
TBZ,2022-05-05,NA,NA
TVSMOTOR,2022-05-05,NA,NA
VJLAXMIE,2022-05-05,NA,NA
VOLTAS,2022-05-05,NA,NA
WESTLEIRES,2022-05-05,NA,NA
ZNIVITRD,2022-05-05,NA,NA
ZPARICIN,2022-05-05,NA,NA
ACGL,2022-05-06,NA,NA
APOLLOPIPES,2022-05-06,NA,NA
APOLLOTRI,2022-05-06,NA,NA
ASL,2022-05-06,NA,NA
AVANTEL,2022-05-06,NA,NA
BAJAJCON,2022-05-06,NA,NA
BHARATSE,2022-05-06,NA,NA
BHARTIA,2022-05-06,NA,NA
