Scrip, Date, Sentiment, Comment
INFY, 2018-04-13, Inline, Bad
GRUH, 2018-04-16, Inline, Good
DCB, 2018-04-16, Inline, Good
CRISIL, 2018-04-17, Bad, Good
TATASPONGE, 2018-04-17, NA, NA
ACC, 2018-04-18, Good, Good
HDFCLIFE, 2018-04-18, NA, NA
MINDTREE, 2018-04-18, Good, Good
TCS, 2018-04-19, Good, Good
INDUSINDBK, 2018-04-19, Inline, Good
RPOWER, 2018-04-19, Good, Good
IBULHSGFIN, 2018-04-20, Misses Estimates, Good
HDFCBANK, 2018-04-21, Misses Estimates, Good
3IINFOTECH, 2018-04-23, NA, NA
BHARATFIN, 2018-04-23, NA, NA
CHOLAFIN, 2018-04-23, Good, Good
INFRATEL, 2018-04-23, Inline, Bad
DELTACORP, 2018-04-23, NA, NA
LICHSGFIN, 2018-04-23, Inline, Bad
RELINFRA, 2018-04-23, Good, Good
BHARTIARTL, 2018-04-24, Slight better than estimates, Bad
NETWORK18, 2018-04-24, NA, NA
TV18BRDCST, 2018-04-24, NA, NA
RAYMOND, 2018-04-24, Good, Good
ZENSARTECH, 2018-04-24, Good, Good
GICHSGFIN, 2018-04-24, NA, NA
ICICIPRULI, 2018-04-24, Inline, Bad
IDFCBANK, 2018-04-24, Good, Bad
PERSISTENT, 2018-04-24, Good, Bad
COROMANDEL, 2018-04-24, Bad, Bad
BAJAJCORP, 2018-04-25, NA, NA
ICICIGI, 2018-04-25, NA, NA
IBREALEST, 2018-04-25, NA, NA
M&MFIN, 2018-04-26, Inline, Good
ULTRACEMCO, 2018-04-25, Bad, Bad
WIPRO, 2018-04-25, Bad, Bad
AXISBANK, 2018-04-26, Bad, Bad
BIRLAMONEY, 2018-04-26, NA, NA
BIOCON, 2018-04-26, Beats Estimates, Good
COROENGG, 2018-04-26, NA, NA
RELCAPITAL, 2018-04-26, NA, NA
SBILIFE, 2018-04-26, Good, Good
TATAELXSI, 2018-04-26, Inline, Good
YESBANK, 2018-04-26, Good, Good
ATUL, 2018-04-27, Inline, Good
EQUITAS, 2018-04-27, Beats Estimates, Good 
IDFC, 2018-04-27, NA, NA
MAHLIFE, 2018-04-27, Misses Estimates, Bad
MARUTI, 2018-04-27, Misses Estimates, Good
RBLBANK, 2018-04-27, Inline, Good
RELIANCE, 2018-04-27, Inline, Good
SRTRANSFIN, 2018-04-27, NA, NA
UPL, 2018-04-27, Inline, Good
CANFINHOME, 2018-04-28, Inline, Good
Idea, 2018-04-28, Beats Estimates, Bad
SHREECEM, 2018-04-28, Beats Estimates, Good
CEATLTD, 2018-04-30, Misses Estimates, Good
CONCOR, 2018-04-30, NA, NA
DHFL, 2018-04-30, Inline, Good
HDFC, 2018-04-30, NA, NA
HINDZINC, 2018-04-30, Inline, Bad
KOTAKBANK, 2018-04-30, Inline, Good
OPTOCIRCUI, 2018-04-30, NA, NA
DABUR, 2018-05-01, NA, NA
EVERESTIND, 2018-05-01, NA, NA
AJANTPHARM, 2018-05-02, NA, N
CENTURYTEX, 2018-05-02, NA, NA
HCLTECH, 2018-05-02, NA, NA
HEROMOTOCO, 2018-05-02, NA, NA
INDIGO, 2018-05-02, NA, NA
JMFINANCIL, 2018-05-02, NA, NA
KANSAINER, 2018-05-02, NA, NA
MARICO, 2018-05-02, NA, NA
SIEMENS, 2018-05-02, NA, NA
TATAPOWER, 2018-05-02, NA, NA
ADANIPORTS, 2018-05-03, NA, NA
ADANIPOWER, 2018-05-03, NA, NA
CASTROLIND, 2018-05-03, NA, NA
EMAMILTD, 2018-05-03, NA, NA
HEXAWARE, 2018-05-03, NA, NA
HCC, 2018-05-03, NA, NA
IRB, 2018-05-03, NA, NA
JSWENERGY, 2018-05-03, NA, NA
L&TFH, 2018-05-03, NA, NA
MRF, 2018-05-03, NA, NA
NUCLEUS, 2018-05-03, NA, NA
PNBHOUSING, 2018-05-03, NA, NA
VEDL, 2018-05-03, NA, NA
CAPF, 2018-05-04, NA, NA
PVR, 2018-05-04, NA, NA
WOCKPHARMA, 2018-05-04, NA, NA
PHILIPCARB, 2018-05-04, NA, NA
NOCIL, 2018-05-04, NA, NA
MAHABANK, 2018-05-04, NA, NA
NIITTECH, 2018-05-04, NA, NA
EXIDEIND, 2018-05-07, NA, NA
ICICIBANK, 2018-05-07, NA, NA
FSL, 2018-05-07, NA, NA
TATACHEM, 2018-05-07, NA, NA
TATACOFFEE, 2018-05-07, NA, NA
GODREJCP, 2018-05-08, NA, NA
JUBLFOOD, 2018-05-08, NA, NA
KAJARIACER, 2018-05-08, NA, NA
SKFINDIA, 2018-05-08, NA, NA
EIDPARRY, 2018-05-09, NA, NA
APOLLOTYRE, 2018-05-10, NA, NA
ASIANPAINT, 2018-05-10, NA, NA
CHAMBLFERT, 2018-05-10, NA, NA
CHENNPETRO, 2018-05-10, NA, NA
MPHASIS, 2018-05-10, NA, NA
NESTLEIND, 2018-05-10, NA, NA
TITAN, 2018-05-10, NA, NA
TVTODAY, 2018-05-10, NA, NA
UNIONBANK, 2018-05-10, NA, NA
ZEEL, 2018-05-10, NA, NA
HAVELLS, 2018-05-11, NA, NA
TEST, 2018-05-05, NA, NA


