,-0.09145928671215929,176898
"M@[,ADXR20,APO,AROON:BOP]P@[,BELTHOLD]",2.4178636521446197,1
"M@[,ADXR20,APO:BOP]",0.13036891658909483,20
"M@[,ADXR20,APO:BOP]O@[,CROSSOVER21]",1.9704374973425103,4
"M@[,ADXR20,APO:BOP]P@[,BELTHOLD,3OUTSIDE]",-5.514705882352957,1
"M@[,ADXR20,APO:BOP]P@[,BELTHOLD,ENGULFING]",0.20792262220878976,2
"M@[,ADXR20,APO:BOP]P@[,BELTHOLD,LONGLINE]",-0.9659956388251569,4
"M@[,ADXR20,APO:BOP]P@[,BELTHOLD]",0.8895419114558522,3
"M@[,ADXR20,APO:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]",-1.0980026340540314,1
"M@[,ADXR20,APO:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",2.3782199979853242,1
"M@[,ADXR20,APO:BOP]P@[,ENGULFING,LONGLINE]",0.06678839355987265,2
"M@[,ADXR20,APO:BOP]P@[,ENGULFING,SHORTLINE]",0.27884765313808113,1
"M@[,ADXR20,APO:BOP]P@[,ENGULFING]",0.30316314169857095,1
"M@[,ADXR20,APO:BOP]P@[,HAMMER]",0.28961622700413375,1
"M@[,ADXR20,APO:BOP]P@[,HARAMI]",-0.8808955407052124,1
"M@[,ADXR20,APO:BOP]P@[,HIKKAKE]",-0.4504504504504406,1
"M@[,ADXR20,APO:BOP]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",1.3795393779137026,1
"M@[,ADXR20,APO:BOP]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-1.0339503929510323,1
"M@[,ADXR20,APO:BOP]P@[,SHORTLINE]",-1.2778548855298482,2
"M@[,ADXR20,APO:BOP]P@[,SPINNINGTOP,HIGHWAVE]",2.0846057092292143,1
"M@[,ADXR20,APO:BOP]P@[,SPINNINGTOP]",1.3251880801865068,2
"M@[,ADXR20,APO:BOP]P@[,SPINNINGTOP]O@[,CROSSOVER21]",-0.22935779816514132,1
"M@[,ADXR20,AROON,CCI:BOP]",-0.16860629806538618,1
"M@[,ADXR20,AROON,CCI:BOP]P@[,BELTHOLD]",-0.08743035988730186,1
"M@[,ADXR20,AROON:BOP]",-0.01713844263995849,30
"M@[,ADXR20,AROON:BOP]P@[,3OUTSIDE,SHORTLINE]",1.9936670230913958,1
"M@[,ADXR20,AROON:BOP]P@[,3OUTSIDE]",-0.6356024321123716,2
"M@[,ADXR20,AROON:BOP]P@[,BELTHOLD,ENGULFING,LONGLINE]",-2.158787428898841,1
"M@[,ADXR20,AROON:BOP]P@[,BELTHOLD,ENGULFING]",-1.5473114560022445,1
"M@[,ADXR20,AROON:BOP]P@[,BELTHOLD,LONGLINE]",-0.866274192424593,2
"M@[,ADXR20,AROON:BOP]P@[,BELTHOLD]",1.2718313360948077,2
"M@[,ADXR20,AROON:BOP]P@[,BELTHOLD]O@[,CROSSOVER50]",-3.6666644061053093,1
