,-0.09460407885996294,128061
"M@[,ADXR20,APO,AROON]",0.7870142646335436,1
"M@[,ADXR20,APO,AROON]P@[,BELTHOLD,LONGLINE]",-3.1213872832369973,1
"M@[,ADXR20,APO]",0.896104691773357,23
"M@[,ADXR20,APO]O@[,CROSSOVER21,CROSSOVER50]",-2.8062970568104,1
"M@[,ADXR20,APO]O@[,CROSSOVER21]",1.8672978870221846,3
"M@[,ADXR20,APO]P@[,3BLACKCROWS,SHORTLINE]",-0.15151515151514292,1
"M@[,ADXR20,APO]P@[,BELTHOLD,3OUTSIDE]",-6.75047319738581,1
"M@[,ADXR20,APO]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",1.2541730578363204,1
"M@[,ADXR20,APO]P@[,BELTHOLD]",-1.5678091735088024,5
"M@[,ADXR20,APO]P@[,CLOSINGMARUBOZU,LONGLINE]",2.0456303170920376,1
"M@[,ADXR20,APO]P@[,ENGULFING,HIKKAKE]",2.3371766905578064,1
"M@[,ADXR20,APO]P@[,ENGULFING]",-1.9798419216678307,3
"M@[,ADXR20,APO]P@[,HIKKAKE,LONGLINE]",-2.0493488690884227,1
"M@[,ADXR20,APO]P@[,HIKKAKE]",-1.5546639919759278,1
"M@[,ADXR20,APO]P@[,LONGLINE]",0.5842757454150603,3
"M@[,ADXR20,APO]P@[,LONGLINE]O@[,CROSSOVER21]",2.2089113072719706,1
"M@[,ADXR20,APO]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,3OUTSIDE,LONGLINE]",0.8722741433021841,1
"M@[,ADXR20,APO]P@[,SHORTLINE]",-0.7254261878853827,1
"M@[,ADXR20,APO]P@[,SPINNINGTOP]",0.32996632996633607,1
"M@[,ADXR20,AROON,CROSSOVER-MACD]",0.26544401697457926,5
"M@[,ADXR20,AROON,CROSSOVER-MACD]P@[,BELTHOLD,ENGULFING]",1.221498371335505,1
"M@[,ADXR20,AROON,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE]",0.8571428571428535,1
"M@[,ADXR20,AROON,CROSSOVER-MACD]P@[,BELTHOLD]",-1.0768874478925505,1
"M@[,ADXR20,AROON,CROSSOVER-MACD]P@[,SPINNINGTOP,HIGHWAVE]",-3.0961538461538507,1
